block,basefee,gas_used,demand_lambda,block_max_gas,moving_avg_window
0,1.0,149982000,15000,150000000,25
1,1.0599808,149982000,15000,150000000,25
2,1.123559296,149982000,15000,150000000,25
3,1.190951281,149982000,15000,150000000,25
4,1.262385491,149982000,15000,150000000,25
5,1.338104382,149982000,15000,150000000,25
6,1.418364953,149982000,15000,150000000,25
7,1.503439617,149982000,15000,150000000,25
8,1.593617127,149982000,15000,150000000,25
9,1.689203557,149982000,15000,150000000,25
10,1.790523337,149982000,15000,150000000,25
11,1.897920359,149982000,15000,150000000,25
12,2.01175914,149982000,15000,150000000,25
13,2.132426062,149982000,15000,150000000,25
14,2.260330683,149982000,15000,150000000,25
15,2.395907125,149982000,15000,150000000,25
16,2.539615551,149982000,15000,150000000,25
17,2.691943723,149982000,15000,150000000,25
18,2.853408661,149982000,15000,150000000,25
19,3.024558395,149982000,15000,150000000,25
20,3.205973827,149982000,15000,150000000,25
21,3.398270701,149982000,15000,150000000,25
22,3.602101696,149982000,15000,150000000,25
23,3.818158637,149982000,15000,150000000,25
24,4.047174846,149982000,15000,150000000,25
25,4.289927631,149982000,15000,150000000,25
26,4.547240922,149982000,15000,150000000,25
27,4.81998807,149982000,15000,150000000,25
28,5.10909481,149982000,15000,150000000,25
29,5.415542403,149982000,15000,150000000,25
30,5.740370968,149982000,15000,150000000,25
31,6.08468301,149982000,15000,150000000,25
32,6.449647164,149982000,15000,150000000,25
33,6.83650216,149982000,15000,150000000,25
34,7.246561028,149982000,15000,150000000,25
35,7.681215555,149982000,15000,150000000,25
36,8.141941008,149982000,15000,150000000,25
37,8.630301143,149982000,15000,150000000,25
38,9.147953509,149982000,15000,150000000,25
39,9.696655078,149982000,15000,150000000,25
40,10.278268206,149982000,15000,150000000,25
41,10.894766955,149982000,15000,150000000,25
42,11.548243792,149982000,15000,150000000,25
43,12.240916693,149982000,15000,150000000,25
44,12.975136668,149982000,15000,150000000,25
45,13.753395745,149982000,15000,150000000,25
46,14.578335424,149982000,15000,150000000,25
47,15.452755645,149982000,15000,150000000,25
48,16.37962429,149982000,15000,150000000,25
49,17.362087258,149982000,15000,150000000,25
50,18.31079393,24864000,15000,150000000,25
51,19.194805076,819000,15000,150000000,25
52,19.998662628,0,15000,150000000,25
53,20.708208778,0,15000,150000000,25
54,21.310412766,0,15000,150000000,25
55,21.79375884,0,15000,150000000,25
56,22.148604472,0,15000,150000000,25
57,22.367493637,0,15000,150000000,25
58,22.445411248,0,15000,150000000,25
59,22.379966893,0,15000,150000000,25
60,22.171498754,0,15000,150000000,25
61,21.82309192,0,15000,150000000,25
62,21.340508984,0,15000,150000000,25
63,20.732034733,0,15000,150000000,25
64,20.00824059,0,15000,150000000,25
65,19.181678082,0,15000,150000000,25
66,18.266513775,0,15000,150000000,25
67,17.278693443,735000,15000,150000000,25
68,16.240720029,9492000,15000,150000000,25
69,15.210953399,71841000,15000,150000000,25
70,14.219331633,108150000,15000,150000000,25
71,13.283984453,136185000,15000,150000000,25
72,12.41016438,149982000,15000,150000000,25
73,11.593824164,149982000,15000,150000000,25
74,10.831182781,149982000,15000,150000000,25
75,10.176528763,149982000,15000,150000000,25
76,9.626209442,149982000,15000,150000000,25
77,9.167250258,149982000,15000,150000000,25
78,8.788836728,149982000,15000,150000000,25
79,8.482285477,149982000,15000,150000000,25
80,8.240706729,149982000,15000,150000000,25
81,8.058742431,149982000,15000,150000000,25
82,7.932365876,149982000,15000,150000000,25
83,7.858732198,149982000,15000,150000000,25
84,7.836071889,149982000,15000,150000000,25
85,7.863621762,149982000,15000,150000000,25
86,7.941589634,149982000,15000,150000000,25
87,8.071150633,149982000,15000,150000000,25
88,8.254474486,149982000,15000,150000000,25
89,8.494784558,149982000,15000,150000000,25
90,8.792059067,137865000,15000,150000000,25
91,9.144844305,120246000,15000,150000000,25
92,9.556007039,114072000,15000,150000000,25
93,10.026257992,109074000,15000,150000000,25
94,10.533466652,104139000,15000,150000000,25
95,11.059670781,93324000,15000,150000000,25
96,11.588616789,86289000,15000,150000000,25
97,12.106746997,76944000,15000,150000000,25
98,12.606561552,69678000,15000,150000000,25
99,13.078835217,60417000,15000,150000000,25
100,13.514438693,52563000,15000,150000000,25
101,13.904938074,46599000,15000,150000000,25
102,14.242383556,41538000,15000,150000000,25
103,14.518878126,36204000,15000,150000000,25
104,14.726381467,29946000,15000,150000000,25
105,14.860465523,28413000,15000,150000000,25
106,14.917451722,26460000,15000,150000000,25
107,14.895329021,25347000,15000,150000000,25
108,14.795150426,27111000,15000,150000000,25
109,14.618161604,27237000,15000,150000000,25
110,14.368854822,30639000,15000,150000000,25
111,14.051020351,31269000,15000,150000000,25
112,13.673301946,38367000,15000,150000000,25
113,13.243782621,43785000,15000,150000000,25
114,12.772624353,52416000,15000,150000000,25
115,12.275861228,60123000,15000,150000000,25
116,11.770755695,67431000,15000,150000000,25
117,11.266479194,74340000,15000,150000000,25
118,10.770703635,81816000,15000,150000000,25
119,10.290114494,89712000,15000,150000000,25
120,9.832877784,97671000,15000,150000000,25
121,9.404821306,107415000,15000,150000000,25
122,9.009910301,113106000,15000,150000000,25
123,8.650916263,119973000,15000,150000000,25
124,8.328944938,121968000,15000,150000000,25
125,8.053158512,148806000,15000,150000000,25
126,7.82202642,149982000,15000,150000000,25
127,7.633720082,149982000,15000,150000000,25
128,7.487005111,149982000,15000,150000000,25
129,7.38145487,149982000,15000,150000000,25
130,7.315679847,149982000,15000,150000000,25
131,7.289046558,149982000,15000,150000000,25
132,7.30127163,149982000,15000,150000000,25
133,7.351794093,149982000,15000,150000000,25
134,7.441168383,149982000,15000,150000000,25
135,7.568859308,147903000,15000,150000000,25
136,7.733992684,140427000,15000,150000000,25
137,7.935048775,136311000,15000,150000000,25
138,8.171960638,134253000,15000,150000000,25
139,8.443293789,130851000,15000,150000000,25
140,8.747352874,125958000,15000,150000000,25
141,9.083742755,124719000,15000,150000000,25
142,9.449469062,116655000,15000,150000000,25
143,9.843924069,116550000,15000,150000000,25
144,10.260375293,102879000,15000,150000000,25
145,10.694481429,97755000,15000,150000000,25
146,11.140026187,92232000,15000,150000000,25
147,11.590727762,84903000,15000,150000000,25
148,12.038882787,77952000,15000,150000000,25
149,12.477894805,70434000,15000,150000000,25
150,12.887133019,62811000,15000,150000000,25
151,13.258536481,56763000,15000,150000000,25
152,13.585284521,52122000,15000,150000000,25
153,13.860306325,46851000,15000,150000000,25
154,14.076677903,41391000,15000,150000000,25
155,14.228898818,37548000,15000,150000000,25
156,14.313691216,36204000,15000,150000000,25
157,14.328835788,35112000,15000,150000000,25
158,14.272369628,32823000,15000,150000000,25
159,14.146226543,35196000,15000,150000000,25
160,13.955060095,38325000,15000,150000000,25
161,13.706421561,39564000,15000,150000000,25
162,13.408950545,45234000,15000,150000000,25
163,13.068135785,47208000,15000,150000000,25
164,12.692788816,53382000,15000,150000000,25
165,12.292125604,59304000,15000,150000000,25
166,11.872885844,65184000,15000,150000000,25
167,11.44604097,73416000,15000,150000000,25
168,11.015507204,77574000,15000,150000000,25
169,10.594387007,88452000,15000,150000000,25
170,10.187847323,94395000,15000,150000000,25
171,9.799892792,99099000,15000,150000000,25
172,9.43619478,107583000,15000,150000000,25
173,9.099412307,111279000,15000,150000000,25
174,8.792146264,115500000,15000,150000000,25
175,8.51751844,122157000,15000,150000000,25
176,8.277019697,127071000,15000,150000000,25
177,8.070870257,130158000,15000,150000000,25
178,7.899562226,133119000,15000,150000000,25
179,7.764095224,136941000,15000,150000000,25
180,7.664287469,138180000,15000,150000000,25
181,7.599563113,139566000,15000,150000000,25
182,7.568403201,136941000,15000,150000000,25
183,7.572484568,141561000,15000,150000000,25
184,7.610988168,141729000,15000,150000000,25
185,7.682182203,138390000,15000,150000000,25
186,7.786895877,139797000,15000,150000000,25
187,7.923770817,137739000,15000,150000000,25
188,8.092231452,133518000,15000,150000000,25
189,8.291963779,133581000,15000,150000000,25
190,8.520980123,128142000,15000,150000000,25
191,8.777271572,122808000,15000,150000000,25
192,9.05899025,120729000,15000,150000000,25
193,9.36484843,116634000,15000,150000000,25
194,9.691203058,113904000,15000,150000000,25
195,10.034548892,107982000,15000,150000000,25
196,10.391209833,101787000,15000,150000000,25
197,10.756544154,98553000,15000,150000000,25
198,11.125374177,90909000,15000,150000000,25
199,11.492556382,85386000,15000,150000000,25
0,1.0,256935000,15000,300000000,25
1,1.033728,244545000,15000,300000000,25
2,1.066752715,240723000,15000,300000000,25
3,1.100193279,242907000,15000,300000000,25
4,1.134843558,247653000,15000,300000000,25
5,1.170242808,243159000,15000,300000000,25
6,1.206269434,240639000,15000,300000000,25
7,1.243142919,241962000,15000,300000000,25
8,1.280585278,237237000,15000,300000000,25
9,1.318452901,233688000,15000,300000000,25
10,1.357091529,237489000,15000,300000000,25
11,1.396674812,239337000,15000,300000000,25
12,1.437130078,237258000,15000,300000000,25
13,1.478422849,235704000,15000,300000000,25
14,1.520594091,235515000,15000,300000000,25
15,1.563828382,238224000,15000,300000000,25
16,1.608003258,234927000,15000,300000000,25
17,1.653130118,234255000,15000,300000000,25
18,1.699236647,233940000,15000,300000000,25
19,1.746409495,234948000,15000,300000000,25
20,1.794509803,230937000,15000,300000000,25
21,1.84350762,229320000,15000,300000000,25
22,1.893681292,234906000,15000,300000000,25
23,1.944838208,229446000,15000,300000000,25
24,1.997006299,229215000,15000,300000000,25
25,2.049533252,232512000,15000,300000000,25
26,2.102687978,227304000,15000,300000000,25
27,2.156627812,227493000,15000,300000000,25
28,2.211187114,226296000,15000,300000000,25
29,2.266152909,227010000,15000,300000000,25
30,2.321364225,219975000,15000,300000000,25
31,2.377119902,224469000,15000,300000000,25
32,2.433244577,222831000,15000,300000000,25
33,2.489909509,222117000,15000,300000000,25
34,2.547293915,222390000,15000,300000000,25
35,2.604992037,218925000,15000,300000000,25
36,2.662795018,217707000,15000,300000000,25
37,2.720833213,218820000,15000,300000000,25
38,2.778958917,215418000,15000,300000000,25
39,2.837128707,215313000,15000,300000000,25
40,2.895186619,216258000,15000,300000000,25
41,2.953165394,214410000,15000,300000000,25
42,3.010873742,211533000,15000,300000000,25
43,3.068259742,211365000,15000,300000000,25
44,3.125213712,211638000,15000,300000000,25
45,3.181840184,210168000,15000,300000000,25
46,3.238243977,210924000,15000,300000000,25
47,3.294035863,211575000,15000,300000000,25
48,3.349270467,207837000,15000,300000000,25
49,3.403690699,204855000,15000,300000000,25
50,3.456999139,205023000,15000,300000000,25
51,3.509558137,205821000,15000,300000000,25
52,3.561314068,206094000,15000,300000000,25
53,3.612161199,204288000,15000,300000000,25
54,3.661832865,202335000,15000,300000000,25
55,3.710839086,202713000,15000,300000000,25
56,3.758956734,204960000,15000,300000000,25
57,3.806085029,202713000,15000,300000000,25
58,3.851976305,199605000,15000,300000000,25
59,3.896526105,199332000,15000,300000000,25
60,3.939997371,199752000,15000,300000000,25
61,3.982177911,196581000,15000,300000000,25
62,4.022799438,195153000,15000,300000000,25
63,4.062319677,197757000,15000,300000000,25
64,4.100275392,192780000,15000,300000000,25
65,4.136590842,193452000,15000,300000000,25
66,4.171487784,194691000,15000,300000000,25
67,4.205101832,193809000,15000,300000000,25
68,4.237285595,192402000,15000,300000000,25
69,4.268039474,193095000,15000,300000000,25
70,4.297316722,191499000,15000,300000000,25
71,4.325250793,194082000,15000,300000000,25
72,4.351653507,193011000,15000,300000000,25
73,4.37707886,195573000,15000,300000000,25
74,4.401113435,188370000,15000,300000000,25
75,4.424177804,193284000,15000,300000000,25
76,4.445870574,190008000,15000,300000000,25
77,4.46628345,191478000,15000,300000000,25
78,4.485183332,187425000,15000,300000000,25
79,4.503070099,190911000,15000,300000000,25
80,4.519686643,188748000,15000,300000000,25
81,4.534637332,187047000,15000,300000000,25
82,4.54802242,186018000,15000,300000000,25
83,4.560409923,188916000,15000,300000000,25
84,4.571805548,188790000,15000,300000000,25
85,4.582133878,188517000,15000,300000000,25
86,4.591362662,185094000,15000,300000000,25
87,4.599900392,187908000,15000,300000000,25
88,4.607417438,187194000,15000,300000000,25
89,4.614356429,186774000,15000,300000000,25
90,4.620580272,186081000,15000,300000000,25
91,4.626042463,186879000,15000,300000000,25
92,4.631162936,190281000,15000,300000000,25
93,4.635907321,188538000,15000,300000000,25
94,4.640191344,188391000,15000,300000000,25
95,4.643926363,185913000,15000,300000000,25
96,4.646792668,185283000,15000,300000000,25
97,4.649125729,187614000,15000,300000000,25
98,4.650560188,186501000,15000,300000000,25
99,4.651507562,183456000,15000,300000000,25
100,4.651567398,184338000,15000,300000000,25
101,4.651696004,190701000,15000,300000000,25
102,4.651278616,185976000,15000,300000000,25
103,4.65072582,186060000,15000,300000000,25
104,4.649827225,187425000,15000,300000000,25
105,4.64866633,186102000,15000,300000000,25
106,4.647355777,185535000,15000,300000000,25
107,4.646097644,186543000,15000,300000000,25
108,4.644816956,188685000,15000,300000000,25
109,4.642899872,182364000,15000,300000000,25
110,4.640613336,184779000,15000,300000000,25
111,4.638415244,185976000,15000,300000000,25
112,4.636041562,186123000,15000,300000000,25
113,4.63345517,185031000,15000,300000000,25
114,4.630600368,184044000,15000,300000000,25
115,4.627678866,185388000,15000,300000000,25
116,4.624632742,185598000,15000,300000000,25
117,4.621592767,190323000,15000,300000000,25
118,4.618759767,190617000,15000,300000000,25
119,4.615775383,186837000,15000,300000000,25
120,4.613070021,188727000,15000,300000000,25
121,4.610391045,185535000,15000,300000000,25
122,4.607798308,188475000,15000,300000000,25
123,4.605235929,186795000,15000,300000000,25
124,4.602949374,186249000,15000,300000000,25
125,4.601218665,189987000,15000,300000000,25
126,4.599265981,188433000,15000,300000000,25
127,4.597437754,187236000,15000,300000000,25
128,4.595529927,185241000,15000,300000000,25
129,4.593736126,188580000,15000,300000000,25
130,4.592082968,187530000,15000,300000000,25
131,4.590782196,189126000,15000,300000000,25
132,4.589399525,185703000,15000,300000000,25
133,4.587980262,188307000,15000,300000000,25
134,4.587009518,186942000,15000,300000000,25
135,4.586232148,186753000,15000,300000000,25
136,4.5854508,185934000,15000,300000000,25
137,4.584821602,187677000,15000,300000000,25
138,4.584385567,187005000,15000,300000000,25
139,4.584011187,184674000,15000,300000000,25
140,4.583714876,186186000,15000,300000000,25
141,4.583356979,184968000,15000,300000000,25
142,4.58290671,189378000,15000,300000000,25
143,4.582390784,189945000,15000,300000000,25
144,4.582199276,190155000,15000,300000000,25
145,4.581566419,184212000,15000,300000000,25
146,4.581058854,186816000,15000,300000000,25
147,4.580385108,186774000,15000,300000000,25
148,4.580015159,189903000,15000,300000000,25
149,4.57969038,186711000,15000,300000000,25
150,4.578957336,185808000,15000,300000000,25
151,4.578503396,191289000,15000,300000000,25
152,4.57773157,183981000,15000,300000000,25
153,4.577376191,189504000,15000,300000000,25
154,4.576942914,187782000,15000,300000000,25
155,4.57642766,186690000,15000,300000000,25
156,4.575986272,189882000,15000,300000000,25
157,4.575819632,188517000,15000,300000000,25
158,4.575376253,185472000,15000,300000000,25
159,4.574762786,185199000,15000,300000000,25
160,4.574059224,185829000,15000,300000000,25
161,4.573517655,187593000,15000,300000000,25
162,4.572740522,185262000,15000,300000000,25
163,4.572172477,189147000,15000,300000000,25
164,4.572071523,189462000,15000,300000000,25
165,4.572206124,188601000,15000,300000000,25
166,4.572615208,187782000,15000,300000000,25
167,4.573112415,190281000,15000,300000000,25
168,4.572898759,182658000,15000,300000000,25
169,4.572367571,186900000,15000,300000000,25
170,4.571756556,183393000,15000,300000000,25
171,4.571299234,188391000,15000,300000000,25
172,4.571063135,189042000,15000,300000000,25
173,4.570650934,188097000,15000,300000000,25
174,4.57074454,191898000,15000,300000000,25
175,4.571376692,191331000,15000,300000000,25
176,4.571685351,187971000,15000,300000000,25
177,4.572180409,185892000,15000,300000000,25
178,4.572519847,187908000,15000,300000000,25
179,4.572732304,186480000,15000,300000000,25
180,4.573127095,188559000,15000,300000000,25
181,4.573665333,191352000,15000,300000000,25
182,4.574211831,188601000,15000,300000000,25
183,4.575020698,188160000,15000,300000000,25
184,4.575987527,186816000,15000,300000000,25
185,4.57691561,185430000,15000,300000000,25
186,4.578184257,191079000,15000,300000000,25
187,4.579742451,188223000,15000,300000000,25
188,4.580985209,185913000,15000,300000000,25
189,4.581928672,186396000,15000,300000000,25
190,4.582730692,187152000,15000,300000000,25
191,4.583467155,187110000,15000,300000000,25
192,4.583869033,186858000,15000,300000000,25
193,4.584745322,187509000,15000,300000000,25
194,4.585907279,189819000,15000,300000000,25
195,4.587429066,187068000,15000,300000000,25
196,4.588871206,187572000,15000,300000000,25
197,4.590215121,188034000,15000,300000000,25
198,4.591528583,187782000,15000,300000000,25
199,4.592655233,189987000,15000,300000000,25
0,1.0,259476000,15000,300000000,50
1,1.0344112,244566000,15000,300000000,50
2,1.068307337,242781000,15000,300000000,50
3,1.102879471,245889000,15000,300000000,50
4,1.137769989,241374000,15000,300000000,50
5,1.173137341,240618000,15000,300000000,50
6,1.209262463,241962000,15000,300000000,50
7,1.2460683,239883000,15000,300000000,50
8,1.283569306,238812000,15000,300000000,50
9,1.32191907,239841000,15000,300000000,50
10,1.36099442,236964000,15000,300000000,50
11,1.40116789,241983000,15000,300000000,50
12,1.442081647,235095000,15000,300000000,50
13,1.483780879,234801000,15000,300000000,50
14,1.526360879,235557000,15000,300000000,50
15,1.570052959,239148000,15000,300000000,50
16,1.614569169,232512000,15000,300000000,50
17,1.659999844,233394000,15000,300000000,50
18,1.706311672,231735000,15000,300000000,50
19,1.753558623,231966000,15000,300000000,50
20,1.801747349,231189000,15000,300000000,50
21,1.85106386,234528000,15000,300000000,50
22,1.901437778,232008000,15000,300000000,50
23,1.952835289,230307000,15000,300000000,50
24,2.005153152,226926000,15000,300000000,50
25,2.058612139,231399000,15000,300000000,50
26,2.113126628,228396000,15000,300000000,50
27,2.168537879,223566000,15000,300000000,50
28,2.225006964,226758000,15000,300000000,50
29,2.282492481,224847000,15000,300000000,50
30,2.340910387,221865000,15000,300000000,50
31,2.400237015,220458000,15000,300000000,50
32,2.460788274,227829000,15000,300000000,50
33,2.522286673,219765000,15000,300000000,50
34,2.584732841,219030000,15000,300000000,50
35,2.64816207,219219000,15000,300000000,50
36,2.712643127,220290000,15000,300000000,50
37,2.778021367,215481000,15000,300000000,50
38,2.844264896,213990000,15000,300000000,50
39,2.911313435,211785000,15000,300000000,50
40,2.979278203,214158000,15000,300000000,50
41,3.048298942,217245000,15000,300000000,50
42,3.118319191,215082000,15000,300000000,50
43,3.189441815,217182000,15000,300000000,50
44,3.261445179,210651000,15000,300000000,50
45,3.334247215,207963000,15000,300000000,50
46,3.407826871,206955000,15000,300000000,50
47,3.482132604,205170000,15000,300000000,50
48,3.557214546,206115000,15000,300000000,50
49,3.63302556,204477000,15000,300000000,50
50,3.708241977,202440000,15000,300000000,50
51,3.783135055,197022000,15000,300000000,50
52,3.857783996,199248000,15000,300000000,50
53,3.931985786,199227000,15000,300000000,50
54,4.005780162,197631000,15000,300000000,50
55,4.07922143,199941000,15000,300000000,50
56,4.151790583,190974000,15000,300000000,50
57,4.223680995,195405000,15000,300000000,50
58,4.294855899,195300000,15000,300000000,50
59,4.365004982,191268000,15000,300000000,50
60,4.434217199,192234000,15000,300000000,50
61,4.501993038,188412000,15000,300000000,50
62,4.568502529,187152000,15000,300000000,50
63,4.633570285,185052000,15000,300000000,50
64,4.697138124,186459000,15000,300000000,50
65,4.759000259,187698000,15000,300000000,50
66,4.819347884,186627000,15000,300000000,50
67,4.878000504,185535000,15000,300000000,50
68,4.934953228,185346000,15000,300000000,50
69,4.989925606,181713000,15000,300000000,50
70,5.042828877,180810000,15000,300000000,50
71,5.093436287,181419000,15000,300000000,50
72,5.14189092,183036000,15000,300000000,50
73,5.187973122,178647000,15000,300000000,50
74,5.231676939,176484000,15000,300000000,50
75,5.272581286,174636000,15000,300000000,50
76,5.311055944,179508000,15000,300000000,50
77,5.347103652,175770000,15000,300000000,50
78,5.380266303,171885000,15000,300000000,50
79,5.410926589,177660000,15000,300000000,50
80,5.438996917,173964000,15000,300000000,50
81,5.464710405,177324000,15000,300000000,50
82,5.487452168,174762000,15000,300000000,50
83,5.507506917,172242000,15000,300000000,50
84,5.524801193,170793000,15000,300000000,50
85,5.539320724,171213000,15000,300000000,50
86,5.551070465,172767000,15000,300000000,50
87,5.560252557,171696000,15000,300000000,50
88,5.567080902,174048000,15000,300000000,50
89,5.571644305,173502000,15000,300000000,50
90,5.573771514,173103000,15000,300000000,50
91,5.573022934,168861000,15000,300000000,50
92,5.569833916,174027000,15000,300000000,50
93,5.563919376,171276000,15000,300000000,50
94,5.55557955,169680000,15000,300000000,50
95,5.54495497,169197000,15000,300000000,50
96,5.532189507,170415000,15000,300000000,50
97,5.517598335,173733000,15000,300000000,50
98,5.501023646,171759000,15000,300000000,50
99,5.482651635,172998000,15000,300000000,50
100,5.462579866,172326000,15000,300000000,50
101,5.44122214,173691000,15000,300000000,50
102,5.418233019,169701000,15000,300000000,50
103,5.393720759,171192000,15000,300000000,50
104,5.3680375,175350000,15000,300000000,50
105,5.341111767,176106000,15000,300000000,50
106,5.313488391,176358000,15000,300000000,50
107,5.284856935,175098000,15000,300000000,50
108,5.255356948,177156000,15000,300000000,50
109,5.225199944,176610000,15000,300000000,50
110,5.194542985,180159000,15000,300000000,50
111,5.163522504,178605000,15000,300000000,50
112,5.132166786,177702000,15000,300000000,50
113,5.100732469,180138000,15000,300000000,50
114,5.06925189,182070000,15000,300000000,50
115,5.037534108,179718000,15000,300000000,50
116,5.005811667,182847000,15000,300000000,50
117,4.974189193,183666000,15000,300000000,50
118,4.942389877,178248000,15000,300000000,50
119,4.910794957,181734000,15000,300000000,50
120,4.879604416,184674000,15000,300000000,50
121,4.848453489,178374000,15000,300000000,50
122,4.81755573,184086000,15000,300000000,50
123,4.787072858,182889000,15000,300000000,50
124,4.757286848,186354000,15000,300000000,50
125,4.728231775,185388000,15000,300000000,50
126,4.69972379,186837000,15000,300000000,50
127,4.671988802,187761000,15000,300000000,50
128,4.645241105,188412000,15000,300000000,50
129,4.619165768,188139000,15000,300000000,50
130,4.59393315,188097000,15000,300000000,50
131,4.569325103,187257000,15000,300000000,50
132,4.545556131,189273000,15000,300000000,50
133,4.522718238,188895000,15000,300000000,50
134,4.500974745,191100000,15000,300000000,50
135,4.480207895,189378000,15000,300000000,50
136,4.460348746,189756000,15000,300000000,50
137,4.441428874,189588000,15000,300000000,50
138,4.423483653,192927000,15000,300000000,50
139,4.406504694,192444000,15000,300000000,50
140,4.390384501,189987000,15000,300000000,50
141,4.375464077,193221000,15000,300000000,50
142,4.361430388,191940000,15000,300000000,50
143,4.348318044,190113000,15000,300000000,50
144,4.336199664,190260000,15000,300000000,50
145,4.325152414,191625000,15000,300000000,50
146,4.315184494,193200000,15000,300000000,50
147,4.306140419,193305000,15000,300000000,50
148,4.298026823,191604000,15000,300000000,50
149,4.290718939,190239000,15000,300000000,50
150,4.284319245,191898000,15000,300000000,50
151,4.278745791,191562000,15000,300000000,50
152,4.274164863,191289000,15000,300000000,50
153,4.270720501,196014000,15000,300000000,50
154,4.267906472,189126000,15000,300000000,50
155,4.265739604,190281000,15000,300000000,50
156,4.264184417,189777000,15000,300000000,50
157,4.263499964,194229000,15000,300000000,50
158,4.263398185,189966000,15000,300000000,50
159,4.26404322,193032000,15000,300000000,50
160,4.26516306,190596000,15000,300000000,50
161,4.266930953,192843000,15000,300000000,50
162,4.269533029,196014000,15000,300000000,50
163,4.27277842,194229000,15000,300000000,50
164,4.2765278,193074000,15000,300000000,50
165,4.280780516,190680000,15000,300000000,50
166,4.285460333,192108000,15000,300000000,50
167,4.290484126,191079000,15000,300000000,50
168,4.296072189,190449000,15000,300000000,50
169,4.302131369,191856000,15000,300000000,50
170,4.308538309,192066000,15000,300000000,50
171,4.315539649,191100000,15000,300000000,50
172,4.322960305,192948000,15000,300000000,50
173,4.330721021,189987000,15000,300000000,50
174,4.338749831,191856000,15000,300000000,50
175,4.347128824,192633000,15000,300000000,50
176,4.355694406,190512000,15000,300000000,50
177,4.36437736,189924000,15000,300000000,50
178,4.373145079,189861000,15000,300000000,50
179,4.382048942,190680000,15000,300000000,50
180,4.390780507,184023000,15000,300000000,50
181,4.399748799,191940000,15000,300000000,50
182,4.408839876,191499000,15000,300000000,50
183,4.418141328,192969000,15000,300000000,50
184,4.427250616,186606000,15000,300000000,50
185,4.436687105,195909000,15000,300000000,50
186,4.446068178,188160000,15000,300000000,50
187,4.455466099,189525000,15000,300000000,50
188,4.464668311,188391000,15000,300000000,50
189,4.473707514,188622000,15000,300000000,50
190,4.482714912,188937000,15000,300000000,50
191,4.491601876,190323000,15000,300000000,50
192,4.500429993,190344000,15000,300000000,50
193,4.509249251,189567000,15000,300000000,50
194,4.517829234,184926000,15000,300000000,50
195,4.526225167,187467000,15000,300000000,50
196,4.534380193,187887000,15000,300000000,50
197,4.542348803,189147000,15000,300000000,50
198,4.550055679,185913000,15000,300000000,50
199,4.557741997,189546000,15000,300000000,50
